CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,UXD,EXD,LR,DVD,DVC,HOR,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_UXD,score_EXD,score_LR,score_DVD,score_DVC,score_HOR,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
031850110,1215,651,564,12.0,17,622,0,0,0,0,465,0,0,0,157,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74.76,0.0,0.0,0.0,25.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42,1.93,2.73
031850111,1976,1028,948,23.0,22,983,0,0,0,0,755,0,0,0,228,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,76.81,0.0,0.0,0.0,23.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.98,2.34,2.24
031850112,2188,1272,916,24.0,20,1228,0,0,0,0,919,0,0,0,309,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74.84,0.0,0.0,0.0,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.86,1.95,1.63
031850113,2175,1369,806,23.0,5,1341,0,0,0,0,1010,0,0,0,331,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75.32,0.0,0.0,0.0,24.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.06,1.72,0.37
031850114,1039,638,401,11.0,4,623,0,0,0,0,455,0,0,0,168,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.03,0.0,0.0,0.0,26.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.59,1.77,0.64
031850117,2049,1073,976,23.0,29,1021,0,0,0,0,764,0,0,0,257,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74.83,0.0,0.0,0.0,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.63,2.25,2.84
031900101,1352,769,583,14.0,4,751,0,0,0,0,466,0,0,0,0,0,0,285,0,0,0,0,0,0.0,0.0,0.0,0.0,62.05,0.0,0.0,0.0,0.0,0.0,0.0,37.95,0.0,0.0,0.0,0.0,0.0,43.12,1.86,0.53
031900102,1427,740,687,8.0,15,717,0,0,0,0,470,0,0,0,0,0,0,247,0,0,0,0,0,0.0,0.0,0.0,0.0,65.55,0.0,0.0,0.0,0.0,0.0,0.0,34.45,0.0,0.0,0.0,0.0,0.0,48.14,1.12,2.09
031900103,745,424,321,5.0,5,414,0,0,0,0,210,0,0,0,0,0,0,204,0,0,0,0,0,0.0,0.0,0.0,0.0,50.72,0.0,0.0,0.0,0.0,0.0,0.0,49.28,0.0,0.0,0.0,0.0,0.0,43.09,1.21,1.21
031900104,1212,657,555,4.0,10,643,0,0,0,0,356,0,0,0,0,0,0,287,0,0,0,0,0,0.0,0.0,0.0,0.0,55.37,0.0,0.0,0.0,0.0,0.0,0.0,44.63,0.0,0.0,0.0,0.0,0.0,45.79,0.62,1.56
031900105,2060,1168,892,7.0,19,1142,0,0,0,0,676,0,0,0,0,0,0,466,0,0,0,0,0,0.0,0.0,0.0,0.0,59.19,0.0,0.0,0.0,0.0,0.0,0.0,40.81,0.0,0.0,0.0,0.0,0.0,43.3,0.61,1.66
031900106,1498,850,648,4.0,8,838,0,0,0,0,488,0,0,0,0,0,0,350,0,0,0,0,0,0.0,0.0,0.0,0.0,58.23,0.0,0.0,0.0,0.0,0.0,0.0,41.77,0.0,0.0,0.0,0.0,0.0,43.26,0.48,0.95
031900107,1315,672,643,3.0,11,658,0,0,0,0,374,0,0,0,0,0,0,284,0,0,0,0,0,0.0,0.0,0.0,0.0,56.84,0.0,0.0,0.0,0.0,0.0,0.0,43.16,0.0,0.0,0.0,0.0,0.0,48.9,0.46,1.67
